level	group	dataset	initial_cells	fail_nCount_low	fail_nCount_high	fail_nFeature_low	fail_nFeature_high	fail_mt	fail_hb	failure_overlap	QC_pass	removed	retention_pct	mt_qc_available
orig.ident	GSE222315_p5_BCa	GSE222315	6492	0	0	0	0	678	1	0	5813	679	89.5409735058534	TRUE
orig.ident	GSE222315_p5_NAT	GSE222315	5545	0	16	0	0	382	2	1	5146	399	92.8043282236249	TRUE
orig.ident	GSE222315_p6_BCa	GSE222315	4991	109	0	104	0	942	0	89	3931	1060	78.7617711881387	TRUE
orig.ident	GSE222315_p7_BCa	GSE222315	4728	0	0	0	0	335	1	0	4392	336	92.8934010152284	TRUE
orig.ident	GSE222315_p8_BCa	GSE222315	6310	0	0	0	0	628	2	0	5680	630	90.0158478605388	TRUE
orig.ident	GSE222315_p9_BCa	GSE222315	5828	0	0	0	0	736	0	0	5092	736	87.3713109128346	TRUE
orig.ident	GSM4006644_BC1	GSE135337	3135	0	0	0	0	0	0	0	3135	0	100	TRUE
orig.ident	GSM4006645_BC2	GSE135337	4806	0	0	12	0	0	0	0	4794	12	99.7503121098627	TRUE
orig.ident	GSM4006646_BC3	GSE135337	3023	0	0	0	0	0	0	0	3023	0	100	TRUE
orig.ident	GSM4006647_BC4	GSE135337	4920	0	41	1	8	0	0	8	4878	42	99.1463414634146	TRUE
orig.ident	GSM4006648_BC5	GSE135337	8045	114	0	233	0	130	0	107	7686	359	95.5376009944065	TRUE
orig.ident	GSM4751267_BC6	GSE135337	5863	96	8	130	14	56	0	89	5653	210	96.4182159304111	TRUE
orig.ident	GSM4751268_BC7	GSE135337	5279	0	29	0	10	0	0	9	5249	30	99.4317105512408	TRUE
orig.ident	GSM5329919_BCN	GSE135337	5744	0	0	5	0	0	0	0	5739	5	99.9129526462395	TRUE
orig.ident	HRA003620_BC-01	HRA003620	7339	58	7	76	0	406	0	62	6880	459	93.745741926693	TRUE
orig.ident	HRA003620_BC-04	HRA003620	4075	147	0	341	0	12	0	147	3723	352	91.361963190184	TRUE
orig.ident	HRA003620_BC-05	HRA003620	7024	0	0	0	0	192	0	0	6832	192	97.2665148063781	TRUE
orig.ident	HRA003620_BC-11	HRA003620	7804	17	22	63	0	455	0	24	7273	531	93.1957970271656	TRUE
orig.ident	HRA003620_BC-24	HRA003620	8336	0	0	0	0	0	0	0	8336	0	100	TRUE
orig.ident	HRA003620_BC-27	HRA003620	5209	0	0	6	0	422	0	3	4784	425	91.8410443463237	TRUE
orig.ident	HRA003620_BC-30	HRA003620	9330	0	0	3	0	853	0	1	8475	855	90.8360128617363	TRUE
orig.ident	HRA003620_NC-01	HRA003620	2021	85	0	82	0	158	1	81	1816	205	89.8565066798615	TRUE
orig.ident	HRA003620_NC-04	HRA003620	6505	204	0	157	0	505	6	153	5818	687	89.4388931591084	TRUE
orig.ident	HRA003620_NC-05	HRA003620	6468	0	0	0	0	823	0	0	5645	823	87.2758194186766	TRUE
orig.ident	HRA003620_NC-11	HRA003620	7111	14	0	62	0	599	4	44	6485	626	91.1967374490226	TRUE
orig.ident	HRA003620_NC-24	HRA003620	4356	0	0	0	0	0	0	0	4356	0	100	TRUE
orig.ident	HRA003620_NC-27	HRA003620	8207	0	0	0	0	836	0	0	7371	836	89.8135737784818	TRUE
orig.ident	HRA003620_NC-30	HRA003620	11490	0	0	9	0	1056	0	5	10430	1060	90.7745865970409	TRUE
orig.ident	T4091568	InhouseData	6982	0	0	0	0	0	0	0	6982	0	100	FALSE
orig.ident	T4295396	InhouseData	6567	15	76	319	0	0	0	15	6172	395	93.9850768996498	FALSE
orig.ident	T4380845	InhouseData	3510	0	0	89	0	0	0	0	3421	89	97.4643874643875	FALSE
orig.ident	T4398343	InhouseData	9618	0	0	5	0	0	0	0	9613	5	99.9480141401539	FALSE
orig.ident	T4450398	InhouseData	13400	0	0	0	0	0	0	0	13400	0	100	FALSE
orig.ident	T4463209a	InhouseData	8336	0	0	102	0	0	0	0	8234	102	98.7763915547025	FALSE
orig.ident	T4463209b	InhouseData	5274	0	1	1	0	0	3	0	5269	5	99.9051952976868	FALSE
orig.ident	T4465219	InhouseData	12964	0	0	0	0	0	1	0	12963	1	99.9922863313792	FALSE
orig.ident	T4465935	InhouseData	4940	0	0	273	0	0	0	0	4667	273	94.4736842105263	FALSE
orig.ident	T4466585	InhouseData	3774	0	0	0	0	0	4	0	3770	4	99.8940116587175	FALSE
orig.ident	T4469479	InhouseData	5246	0	0	0	0	0	1	0	5245	1	99.9809378574152	FALSE
orig.ident	T4471438	InhouseData	9830	0	0	5	0	0	2	0	9823	7	99.9287894201424	FALSE
orig.ident	T8009218	InhouseData	4864	0	0	0	0	0	6	0	4858	6	99.8766447368421	FALSE
