orig.ident	initial_cells	log1p_nCount_median	log1p_nCount_MAD	log1p_nCount_lower	log1p_nCount_upper	nCount_lower	nCount_upper	log1p_nFeature_median	log1p_nFeature_MAD	log1p_nFeature_lower	log1p_nFeature_upper	nFeature_lower	nFeature_upper	percent_mt_median	percent_mt_MAD	percent_mt_MAD_upper	mt_cutoff	hb_cutoff
GSE222315_p2_BCa	12863	8.51579221050061	0.847698501418204	5.972696706246	11.0588877147552	391.562871376626	63504.8759188717	7.54433210805369	0.49353412665593	6.0637297280859	9.02493448802148	428.976144003044	8306.67020408164	1.75761056863871	0.94717284320789	4.59912909826238	4.59912909826238	5
GSE222315_p2_NAT	9171	7.87511928104029	0.273217321165127	7.05546731754491	8.69477124453567	1158.17904943268	5970.60637382792	6.97914527506881	0.187923812342625	6.41537383804094	7.54291671209668	610.169196411542	1886.32679391009	0.564546480993602	0.252588075447675	1.32231070733663	1.32231070733663	5
GSE222315_p3_BCa	7782	7.93128476152589	0.440703388349193	6.60917459647831	9.25339492657347	740.870423472096	10438.9484801557	7.05444965813294	0.296066513701058	6.16625011702977	7.94264919923612	475.396321991161	2813.80762570808	1.43852264498072	0.606655722395949	3.25848981216857	3.25848981216857	5
GSE222315_p4_BCa	5769	8.19560956728878	0.552126660211575	6.53922958665405	9.8519895479235	690.753436613555	18995.110903806	7.41034709782102	0.415497111987953	6.16385576185716	8.65683843378488	474.257024479132	5748.32901411535	1.50080139880519	0.605145330735326	3.31623739101116	3.31623739101116	5
GSE222315_p4_NAT	6297	8.12207437536222	0.420422012719992	6.86080833720224	9.38334041352219	953.138021112498	11887.6615447667	7.16626597413364	0.291033886857061	6.29316431356245	8.03936763470482	539.86208136432	3099.6518256368	1.45538108004596	0.674606389313856	3.47920024798753	3.47920024798753	5
GSE222315_p5_BCa	6492	8.41693074503696	0.680352898378334	6.37587204990196	10.457989440172	586.497534786815	34820.4703699538	7.43691181605276	0.467272086091753	6.0350955577775	8.83872807432802	416.838735471603	6895.21558601484	1.41748519187334	0.574558329187959	3.14116017943721	3.14116017943721	5
GSE222315_p5_NAT	5545	7.82244472948932	0.304923878886288	6.90767309283046	8.73721636614818	998.917817225508	6229.52804208106	7.0057890192535	0.227004121568326	6.32477665454852	7.68680138395848	557.233120912305	2178.39236212235	1.42207053469852	0.523702990022372	2.99317950476564	2.99317950476564	5
GSE222315_p6_BCa	4991	8.90544431878971	0.400660675170847	7.70346229327717	10.1074263443023	2215.00719184022	24523.4619241824	7.95577578153419	0.284873081840726	7.10115653601201	8.81039502705637	1212.36956892092	6702.56683432704	1.24588285837033	0.64531762049939	3.1818357198685	3.1818357198685	5
GSE222315_p7_BCa	4728	8.09879479635138	0.599018540565902	6.30173917465367	9.89585041804908	544.519839857868	19846.8390865142	7.51207124583547	0.433008368901545	6.21304613913083	8.8110963525401	498.219629966088	6707.26986556495	1.2219326006572	0.743339659258203	3.45195157843181	3.45195157843181	5
GSE222315_p8_BCa	6310	8.7898123745969	0.568333427329708	7.08481209260778	10.494812656586	1192.69890956364	36126.6094453035	7.74738090260661	0.379432818119504	6.6090824482481	8.88567935696512	740.802064575149	7226.72321086852	0.43956043956044	0.243363053080858	1.16964959880301	1.16964959880301	5
GSE222315_p9_BCa	5828	8.6562592243953	0.608143104557519	6.83182991072274	10.4806885380679	925.885379047298	35619.9254632284	7.93808872689695	0.384277874888721	6.78525510223079	9.09092235156311	883.705748570537	8873.36756535783	2.17552594393757	1.46613926655867	6.57394374361357	6.57394374361357	5
GSM4006644_BC1	3135	9.62331057957012	0.400844027796097	8.42077849618183	10.8258426629584	4539.43679237531	50303.1402059716	8.15104494568502	0.232780259589751	7.45270416691577	8.84938572445428	1723.52023633102	6969.10608908433	2.66414575455483	1.82390115568423	8.13584922160753	8.13584922160753	5
GSM4006645_BC2	4806	8.91677434737132	0.34036409681234	7.8956820569343	9.93786663780833	2684.66072550915	20698.5375372519	7.76089319585102	0.229876863773108	7.0712626045317	8.45052378717035	1176.63398197193	4676.52212005319	5.35813701019127	1.37680762088579	9.48855987284863	9.48855987284863	5
GSM4006646_BC3	3023	9.0980671294934	0.357730386762951	8.02487596920455	10.1712582897822	3055.04223090561	26139.9489672944	7.7873820264847	0.203871903355497	7.17576631641821	8.39899773655119	1306.36156985505	4441.61184810867	5.06288294098678	2.27364018501003	11.8838034960169	11.8838034960169	5
GSM4006647_BC4	4920	8.21093973337902	0.239597474687387	7.49214730931686	8.92973215744118	1792.90001724264	7552.24202562138	7.19218205871325	0.166643744074725	6.69225082648907	7.69211329093742	805.134680941049	2189.99989339022	5.44216610202393	1.19507626547047	9.02739489843535	9.02739489843535	5
GSM4006648_BC5	8045	8.98029807897082	0.237564211640649	8.26760544404887	9.69299071389276	3894.60955966542	16202.6323284466	7.65728279297819	0.152340724582019	7.20026061923213	8.11430496672425	1338.77989130435	3340.93402144658	3.95914764846804	1.17764976034606	7.49209692950623	7.49209692950623	5
GSM4751267_BC6	5863	9.37330920025432	0.190956864818308	8.8004386057994	9.94617979470924	6636.15446239848	20871.3332845169	7.78364059622125	0.101312349538561	7.47970354760557	8.08757764483694	1770.71546877877	3252.79616625102	3.95926608726187	0.744831029581829	6.19375917600736	6.19375917600736	5
GSM4751268_BC7	5279	8.71899052471085	0.233907387212845	8.01726836307231	9.42071268634938	3031.88127670256	12340.3746154597	7.46164039220858	0.165417024810359	6.9653893177775	7.95789146663965	1058.32725208777	2857.04032137667	6.89827543114221	1.25486457842904	10.6628691664293	10.6628691664293	5
GSM5329919_BCN	5744	8.45254799792271	0.309030592125225	7.52545622154703	9.37963977429838	1853.65916858313	11843.7472032192	7.2991214627108	0.217311840204832	6.6471859420963	7.9510569833253	769.612722637236	2837.57369044468	5.30849739745396	2.60079955063674	13.1108960493642	13.1108960493642	5
HRA003620_BC-01	7339	8.61776224633793	0.318476339440657	7.66233322801596	9.5731912646599	2125.71375232211	14373.2151319713	7.72223474470961	0.221705259314312	7.05711896676667	8.38735052265254	1160.09518856682	4390.16796814336	4.47468573405605	1.43882591335515	8.79116347412151	8.79116347412151	5
HRA003620_BC-04	4075	9.58183496051319	0.419096856683788	8.32454439046183	10.8391255305646	4122.85791136803	50975.7808489459	8.37724123098879	0.24015922084447	7.65676356845538	9.0977188935222	2113.90160609094	8933.88800877456	7.48066298342541	2.75709883957142	15.7519595021397	15.7519595021397	5
HRA003620_BC-05	7024	8.90225148743194	0.78460252711052	6.54844390610038	11.2560590687635	697.156930368506	77346.1545595015	8.00252674230042	0.542767874499954	6.37422311880056	9.63083036580028	585.529590086087	15226.0749011813	5.22248904650959	2.68062555825752	13.2643657212821	13.2643657212821	5
HRA003620_BC-11	7804	8.39671903158609	0.32175867247023	7.4314430141754	9.36199504899678	1687.24197360662	11636.5829455464	7.61677580869837	0.227211855020737	6.93514024363616	8.29841137376058	1026.76337919082	4016.48503945613	2.50807688990694	0.831508017159956	5.00260094138681	5.00260094138681	5
HRA003620_BC-24	8336	8.57499028568827	0.524185089038649	7.00243501857232	10.1475455528042	1098.30673431869	25527.3672189933	7.80220931624712	0.37586814760249	6.67460487343965	8.92981375905459	791.034438195885	7552.85840750565	8.57510041811668	3.53114008421266	19.1685206707547	19.1685206707547	5
HRA003620_BC-27	5209	8.89027283938025	0.448812488486498	7.54383537392075	10.2367103048397	1888.06140562398	27908.1621071921	7.95892649305011	0.300698966888758	7.05682959238384	8.86102339371638	1159.75924597215	7050.69571416567	4.17931773530988	1.84094084397563	9.70214026723676	9.70214026723676	5
HRA003620_BC-30	9330	8.56015688626005	0.499774742770251	7.0608326579493	10.0594811145708	1164.4151540748	23375.3735650305	7.77254214581918	0.341782563336161	6.74719445581069	8.79788983582766	850.666020968162	6619.25942233848	3.20063501021887	1.50444638960619	7.71397417903743	7.71397417903743	5
HRA003620_NC-01	2021	9.30937089543914	0.273383910607732	8.48921916361594	10.1295226272623	4861.06811097033	25071.3926974506	8.04782935745784	0.164383003320101	7.55468034749754	8.54097836741814	1908.65971884805	5119.35149691399	4.64682731478285	1.27829476877656	8.48171162111254	8.48171162111254	5
HRA003620_NC-04	6505	9.12739345115526	0.393734981987182	7.94618850519371	10.3085983971168	2823.78774203167	29988.3739764927	7.87016594646984	0.25191484859315	7.1144214006904	8.62591049224929	1228.57197584916	5573.23569715514	4.1564967695621	1.57003060414856	8.86658858200778	8.86658858200778	5
HRA003620_NC-05	6468	8.58709224923321	0.583702269113206	6.83598544189359	10.3381990565728	929.745094160695	30889.3481526555	7.6508823635698	0.383228653427524	6.50119640328723	8.80056832385237	664.937886905997	6637.01547699597	3.16610459783996	1.09847726088241	6.46153638048718	6.46153638048718	5
HRA003620_NC-11	7111	8.65921345143667	0.352988235404506	7.60024874522315	9.71817815765019	1997.69299861144	16615.9436842345	7.69302574841789	0.225083416132036	7.01777550002178	8.368275996814	1115.30064299021	4307.20230213035	3.17675398976212	1.02721047884105	6.25838542628528	6.25838542628528	5
HRA003620_NC-24	4356	8.99838394129576	0.722752886717753	6.8301252811425	11.166642601449	924.306728701987	70730.2385935097	7.9206280922156	0.444650432525479	6.58667679463917	9.25457938979204	724.366318857081	10451.3215414057	7.16730902726571	3.46966923763681	17.5763167401762	17.5763167401762	5
HRA003620_NC-27	8207	8.48528964240323	0.607134305899905	6.66388672470351	10.3066925601029	782.590627128976	29931.2735468854	7.59085212368858	0.425358648627736	6.31477617780537	8.86692806957179	551.678345066829	7092.45686327904	5.23955628982771	2.5339285842	12.8413420424277	12.8413420424277	5
HRA003620_NC-30	11490	8.50238407061222	0.387957625065041	7.3385111954171	9.66625694580734	1537.42000108769	15775.1872459019	7.54697411751653	0.266617435435906	6.74712181120881	8.34682642382425	850.604154276297	4215.77722210232	3.28165794421354	0.959969675898932	6.16156697191033	6.16156697191033	5
T4091568	6982	8.41227692278897	0.529584716499944	6.82352277328914	10.0010310722888	918.217507943555	22048.1883856117	7.60439634879634	0.341767747822097	6.57909310533005	8.62969959226263	718.886172189068	5594.39709972661	0	0	0	0	5
T4295396	6567	8.13211877295581	0.272577387233286	7.31438661125595	8.94985093465566	1500.75035670423	7705.74296718639	7.5076900778199	0.190339092452901	6.9366728004612	8.07870735517861	1028.3396925585	3224.06168177453	0	0	0	0	5
T4380845	3510	8.53934597692414	0.377257544449204	7.40757334357653	9.67111861027175	1647.42133721209	15852.0725185812	7.76387128782022	0.252396625056274	7.0066814126514	8.52106116298905	1102.98474924439	5018.37730914552	0	0	0	0	5
T4398343	9618	7.98718474823347	0.38628228869139	6.8283378821593	9.14603161430764	922.65431359842	9376.15428000012	7.4730690880322	0.2578291093021	6.6995817601259	8.2465564159385	811.066115702479	3813.46773865255	0	0	0	0	5
T4450398	13400	8.27461194620955	0.511997508851573	6.73861941965483	9.81060447276427	843.394176768034	18225.0008695297	7.60638738977265	0.34867971261261	6.56034825193482	8.65242652761048	705.517697912599	5723.01938684384	0	0	0	0	5
T4463209a	8336	8.63914526690666	0.559375485402562	6.96101881069898	10.3172717231143	1053.70755739176	30249.6128607828	7.86172707782398	0.26835288470269	7.05666842371591	8.66678573193205	1159.57218302544	5805.80469389835	0	0	0	0	5
T4463209b	5274	8.00336283506832	0.356942600810775	6.93253503263599	9.07419063750064	1024.08932348189	8726.11947639174	7.36264527041782	0.256723643372767	6.59247434029952	8.13281620053613	728.583877141293	3403.37347619592	0	0	0	0	5
T4465219	12964	8.22897764335831	0.53366838629197	6.6279724844824	9.82998280223422	754.947919670942	18581.634642496	7.64873978895624	0.365265205823216	6.55294417148659	8.74453540642589	700.305902126173	6275.29681520647	0	0	0	0	5
T4465935	4940	8.48260174664662	0.392895059258138	7.3039165688722	9.66128692442103	1485.10899257833	15696.9737801906	7.81136593718523	0.250915814407319	7.05861849396327	8.56411338040719	1161.83758844143	5239.19180371288	0	0	0	0	5
T4466585	3774	8.26165549727229	0.664110510315799	6.2693239663249	10.2539870282197	527.120230109272	28394.5303073641	7.53289092669518	0.555977674046415	5.86495790455593	9.20082394883442	351.467318527122	9904.28714715818	0	0	0	0	5
T4469479	5246	8.31336192106841	0.533476893385057	6.71293124091323	9.91379260122358	821.979458370721	20206.1665712327	7.56631101477246	0.375695793717393	6.43922363362028	8.69339839592464	624.920667364951	5962.41388712069	0	0	0	0	5
T4471438	9830	8.1104271924578	0.369686990717021	7.00136622030673	9.21948816460886	1097.13242484945	10090.8976156445	7.4846494632879	0.27078525236393	6.67229370619611	8.29700522037968	789.206027841499	4010.83980924513	0	0	0	0	5
T8009218	4864	8.07293516917059	0.559771623936513	6.39362029736105	9.75225004098013	597.017667220404	17191.8699829041	7.46278899264411	0.40163091235046	6.25789625559273	8.66768172969548	521.119378193114	5811.00990949931	0	0	0	0	5
