orig.ident	dataset	n_cells_preQC	n_cells	expected_rate	chosen_pK	nExp_poi	homotypic.prop	nExp_adj	doublet_number	singlet_number
GSE222315_p7_BCa	GSE222315	4728	4728	0.037824	0.21	179	0.0837988826815642	164	164	4564
GSE222315_p8_BCa	GSE222315	6310	6310	0.05048	0.005	319	0.0783699059561128	294	294	6016
GSE222315_p9_BCa	GSE222315	5828	5828	0.046624	0.1	272	0.0772058823529411	251	251	5577
GSM4006644_BC1	GSE135337	3135	3135	0.02508	0.26	79	0.126582278481013	69	69	3066
GSM4006645_BC2	GSE135337	4806	4806	0.038448	0.01	185	0.108108108108108	165	165	4641
GSM4006646_BC3	GSE135337	3023	3023	0.024184	0.24	73	0.0958904109589042	66	66	2957
GSM4006647_BC4	GSE135337	4920	4920	0.03936	0.01	194	0.195876288659794	156	156	4764
GSM4006648_BC5	GSE135337	8045	8045	0.06436	0.29	518	0.084942084942085	474	474	7571
GSM4751267_BC6	GSE135337	5863	5863	0.046904	0.12	275	0.127272727272727	240	240	5623
GSM4751268_BC7	GSE135337	5279	5279	0.042232	0.02	223	0.125560538116592	195	195	5084
GSM5329919_BCN	GSE135337	5744	5744	0.045952	0.16	264	0.0946969696969697	239	239	5505
HRA003620_BC-01	HRA003620	7339	7339	0.058712	0.16	431	0.127610208816705	376	376	6963
HRA003620_BC-04	HRA003620	4075	4075	0.0326	0.005	133	0.0977443609022557	120	120	3955
HRA003620_BC-05	HRA003620	7024	7024	0.056192	0.29	395	0.126582278481013	345	345	6679
HRA003620_BC-11	HRA003620	7804	7804	0.062432	0.15	487	0.100616016427105	438	438	7366
HRA003620_BC-24	HRA003620	8336	8336	0.066688	0.18	556	0.10431654676259	498	498	7838
HRA003620_BC-27	HRA003620	5209	5209	0.041672	0.29	217	0.105990783410138	194	194	5015
HRA003620_BC-30	HRA003620	9330	9330	0.07464	0.24	696	0.0833333333333334	638	638	8692
HRA003620_NC-01	HRA003620	2021	2021	0.016168	0.27	33	0.0909090909090909	30	30	1991
HRA003620_NC-04	HRA003620	6505	6505	0.05204	0.3	339	0.135693215339233	293	293	6212
HRA003620_NC-05	HRA003620	6468	6468	0.051744	0.005	335	0.0805970149253732	308	308	6160
HRA003620_NC-11	HRA003620	7111	7111	0.056888	0.01	405	0.0938271604938271	367	367	6744
HRA003620_NC-24	HRA003620	4356	4356	0.034848	0.23	152	0.138157894736842	131	131	4225
HRA003620_NC-27	HRA003620	8207	8207	0.065656	0.16	539	0.142857142857143	462	462	7745
HRA003620_NC-30	HRA003620	11490	11490	0.08	0.17	919	0.0914036996735582	835	835	10655
T4091568	InhouseData	6982	6982	0.055856	0.01	390	0.0846153846153846	357	357	6625
T4295396	InhouseData	6567	6567	0.052536	0.005	345	0.104347826086956	309	309	6258
T4380845	InhouseData	3510	3510	0.02808	0.2	99	0.0707070707070707	92	92	3418
T4398343	InhouseData	9618	9618	0.076944	0.3	740	0.0702702702702702	688	688	8930
T4450398	InhouseData	13400	13400	0.08	0.05	1072	0.126865671641791	936	936	12464
T4463209a	InhouseData	8336	8336	0.066688	0.29	556	0.0755395683453237	514	514	7822
T4463209b	InhouseData	5274	5274	0.042192	0.16	223	0.0852017937219731	204	204	5070
T4465219	InhouseData	12964	12964	0.08	0.28	1037	0.0800385728061717	954	954	12010
T4465935	InhouseData	4940	4940	0.03952	0.005	195	0.0818515301021161	179	179	4761
T4466585	InhouseData	3774	3774	0.030192	0.25	114	0.0818978990212507	105	105	3669
T4469479	InhouseData	5246	5246	0.041968	0.27	220	0.131868094333696	191	191	5055
T4471438	InhouseData	9830	9830	0.07864	0.3	773	0.100330646421516	695	695	9135
T8009218	InhouseData	4864	4864	0.038912	0.005	189	0.0920325620022507	172	172	4692
