orig.ident	dataset	n_cells_preQC	n_cells	expected_rate	pN	chosen_pK	nExp_poi	homotypic.prop	nExp_adj	homotypic_source	preliminary_HVG	preliminary_PCs	preliminary_resolution	JoinLayers_applied	warning_count	elapsed_seconds
GSE222315_p1_BCa	GSE222315	8707	8707	0.069656	0.25	0.26	606	0.0957095709570958	548	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p2_BCa	GSE222315	12863	12863	0.08	0.25	0.15	1029	0.098153547133139	928	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p2_NAT	GSE222315	9171	9171	0.073368	0.25	0.2	673	0.12927191679049	586	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p3_BCa	GSE222315	7782	7782	0.062256	0.25	0.25	484	0.0971074380165289	437	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p4_BCa	GSE222315	5769	5769	0.046152	0.25	0.15	266	0.0977443609022557	240	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p4_NAT	GSE222315	6297	6297	0.050376	0.25	0.005	317	0.0883280757097792	289	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p5_BCa	GSE222315	6492	6492	0.051936	0.25	0.3	337	0.086053412462908	308	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p5_NAT	GSE222315	5545	5545	0.04436	0.25	0.3	246	0.0894308943089431	224	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p6_BCa	GSE222315	4991	4991	0.039928	0.25	0.09	199	0.115577889447236	176	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p7_BCa	GSE222315	4728	4728	0.037824	0.25	0.21	179	0.0837988826815642	164	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p8_BCa	GSE222315	6310	6310	0.05048	0.25	0.005	319	0.0783699059561128	294	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSE222315_p9_BCa	GSE222315	5828	5828	0.046624	0.25	0.1	272	0.0772058823529411	251	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSM4006644_BC1	GSE135337	3135	3135	0.02508	0.25	0.26	79	0.126582278481013	69	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSM4006645_BC2	GSE135337	4806	4806	0.038448	0.25	0.01	185	0.108108108108108	165	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSM4006646_BC3	GSE135337	3023	3023	0.024184	0.25	0.24	73	0.0958904109589042	66	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSM4006647_BC4	GSE135337	4920	4920	0.03936	0.25	0.01	194	0.195876288659794	156	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSM4006648_BC5	GSE135337	8045	8045	0.06436	0.25	0.29	518	0.084942084942085	474	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSM4751267_BC6	GSE135337	5863	5863	0.046904	0.25	0.12	275	0.127272727272727	240	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSM4751268_BC7	GSE135337	5279	5279	0.042232	0.25	0.02	223	0.125560538116592	195	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
GSM5329919_BCN	GSE135337	5744	5744	0.045952	0.25	0.16	264	0.0946969696969697	239	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_BC-01	HRA003620	7339	7339	0.058712	0.25	0.16	431	0.127610208816705	376	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_BC-04	HRA003620	4075	4075	0.0326	0.25	0.005	133	0.0977443609022557	120	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_BC-05	HRA003620	7024	7024	0.056192	0.25	0.29	395	0.126582278481013	345	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_BC-11	HRA003620	7804	7804	0.062432	0.25	0.15	487	0.100616016427105	438	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_BC-24	HRA003620	8336	8336	0.066688	0.25	0.18	556	0.10431654676259	498	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_BC-27	HRA003620	5209	5209	0.041672	0.25	0.29	217	0.105990783410138	194	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_BC-30	HRA003620	9330	9330	0.07464	0.25	0.24	696	0.0833333333333334	638	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_NC-01	HRA003620	2021	2021	0.016168	0.25	0.27	33	0.0909090909090909	30	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_NC-04	HRA003620	6505	6505	0.05204	0.25	0.3	339	0.135693215339233	293	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_NC-05	HRA003620	6468	6468	0.051744	0.25	0.005	335	0.0805970149253732	308	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_NC-11	HRA003620	7111	7111	0.056888	0.25	0.01	405	0.0938271604938271	367	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_NC-24	HRA003620	4356	4356	0.034848	0.25	0.23	152	0.138157894736842	131	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_NC-27	HRA003620	8207	8207	0.065656	0.25	0.16	539	0.142857142857143	462	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
HRA003620_NC-30	HRA003620	11490	11490	0.08	0.25	0.17	919	0.0914036996735582	835	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4091568	InhouseData	6982	6982	0.055856	0.25	0.01	390	0.0846153846153846	357	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4295396	InhouseData	6567	6567	0.052536	0.25	0.005	345	0.104347826086956	309	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4380845	InhouseData	3510	3510	0.02808	0.25	0.2	99	0.0707070707070707	92	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4398343	InhouseData	9618	9618	0.076944	0.25	0.3	740	0.0702702702702702	688	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4450398	InhouseData	13400	13400	0.08	0.25	0.05	1072	0.126865671641791	936	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4463209a	InhouseData	8336	8336	0.066688	0.25	0.29	556	0.0755395683453237	514	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4463209b	InhouseData	5274	5274	0.042192	0.25	0.16	223	0.0852017937219731	204	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4465219	InhouseData	12964	12964	0.08	0.25	0.28	1037	0.0800385728061717	954	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
T4465935	InhouseData	4940	4940	0.03952	0.25	0.005	195	0.0818515301021161	179	direct_modelHomotypic	3000	1:30	0.8	TRUE	0	98.4371678829193
T4466585	InhouseData	3774	3774	0.030192	0.25	0.25	114	0.0818978990212507	105	direct_modelHomotypic	3000	1:30	0.8	TRUE	0	58.4667685031891
T4469479	InhouseData	5246	5246	0.041968	0.25	0.27	220	0.131868094333696	191	direct_modelHomotypic	3000	1:30	0.8	TRUE	0	87.5907917022705
T4471438	InhouseData	9830	9830	0.07864	0.25	0.3	773	0.100330646421516	695	direct_modelHomotypic	3000	1:30	0.8	TRUE	0	221.280557870865
T8009218	InhouseData	4864	4864	0.038912	0.25	0.005	189	0.0920325620022507	172	direct_modelHomotypic	3000	1:30	0.8	TRUE	0	91.4570269584656
