orig.ident	n_cells_preQC	n_cells_current	expected_rate	pN	chosen_pK	nExp_poi	homotypic.prop	nExp_adj	preliminary_HVG	preliminary_PCs	preliminary_resolution	JoinLayers_applied	warning_count	elapsed_seconds
GSE222315_p5_NAT	5545	4369	0.04436	0.25	0.005	194	0.102322952954976	174	3000	1:30	0.8	TRUE	0	62.4953866004944
GSE222315_p6_BCa	4991	3459	0.039928	0.25	0.29	138	0.111781751640516	123	3000	1:30	0.8	TRUE	0	65.3882994651794
GSE222315_p7_BCa	4728	3959	0.037824	0.25	0.22	150	0.0876897392514241	137	3000	1:30	0.8	TRUE	0	64.744603395462
GSE222315_p8_BCa	6310	5277	0.05048	0.25	0.005	266	0.0796753184189066	245	3000	1:30	0.8	TRUE	0	97.9799106121063
GSE222315_p9_BCa	5828	4542	0.046624	0.25	0.15	212	0.0854299642012386	194	3000	1:30	0.8	TRUE	0	86.4528703689575
GSM4006644_BC1	3135	2784	0.02508	0.25	0.3	70	0.154747675551592	59	3000	1:30	0.8	TRUE	0	52.1075239181519
GSM4006645_BC2	4806	4376	0.038448	0.25	0.2	168	0.103894978092237	151	3000	1:30	0.8	TRUE	0	74.0372393131256
GSM4006646_BC3	3023	2905	0.024184	0.25	0.15	70	0.110165925566046	62	3000	1:30	0.8	TRUE	0	46.1821081638336
GSM4006647_BC4	4920	4352	0.03936	0.25	0.01	171	0.1740662465871	141	3000	1:30	0.8	TRUE	0	62.2598631381989
GSM4006648_BC5	8045	6598	0.06436	0.25	0.28	425	0.0968875905610755	384	3000	1:30	0.8	TRUE	0	122.365489244461
GSM4751267_BC6	5863	4968	0.046904	0.25	0.22	233	0.143409284801149	200	3000	1:30	0.8	TRUE	0	86.0271711349487
GSM4751268_BC7	5279	4712	0.042232	0.25	0.1	199	0.136563961968287	172	3000	1:30	0.8	TRUE	0	72.2394893169403
GSM5329919_BCN	5744	5226	0.045952	0.25	0.17	240	0.102245770177638	215	3000	1:30	0.8	TRUE	0	82.1312348842621
HRA003620_BC-01	7339	5790	0.058712	0.25	0.26	340	0.141647471520488	292	3000	1:30	0.8	TRUE	0	146.258017539978
HRA003620_BC-04	4075	3115	0.0326	0.25	0.04	102	0.124959588178157	89	3000	1:30	0.8	TRUE	0	110.612284421921
HRA003620_BC-05	7024	6444	0.056192	0.25	0.3	362	0.118306511988305	319	3000	1:30	0.8	TRUE	0	175.246672153473
HRA003620_BC-11	7804	6280	0.062432	0.25	0.29	392	0.121587437624244	344	3000	1:30	0.8	TRUE	0	149.108837604523
HRA003620_BC-24	8336	8075	0.066688	0.25	0.005	539	0.104820174639841	483	3000	1:30	0.8	TRUE	0	225.374402284622
HRA003620_BC-27	5209	4365	0.041672	0.25	0.28	182	0.0997235376163353	164	3000	1:30	0.8	TRUE	0	136.732088804245
HRA003620_BC-30	9330	7665	0.07464	0.25	0.005	572	0.0924934672686864	519	3000	1:30	0.8	TRUE	0	216.535768508911
HRA003620_NC-01	2021	1549	0.016168	0.25	0.3	25	0.122989446115926	22	3000	1:30	0.8	TRUE	0	72.135201215744
HRA003620_NC-04	6505	5165	0.05204	0.25	0.2	269	0.150435024632435	229	3000	1:30	0.8	TRUE	0	134.070627450943
HRA003620_NC-05	6468	5296	0.051744	0.25	0.26	274	0.0795518592382326	252	3000	1:30	0.8	TRUE	0	158.383598327637
HRA003620_NC-11	7111	5659	0.056888	0.25	0.01	322	0.0870128825062458	294	3000	1:30	0.8	TRUE	0	149.534742116928
HRA003620_NC-24	4356	3959	0.034848	0.25	0.19	138	0.145553747074475	118	3000	1:30	0.8	TRUE	0	112.518692731857
HRA003620_NC-27	8207	6379	0.065656	0.25	0.005	419	0.127016823922142	366	3000	1:30	0.8	TRUE	0	159.866096496582
HRA003620_NC-30	11490	8688	0.08	0.25	0.18	695	0.0958229360621878	628	3000	1:30	0.8	TRUE	0	217.37095284462
T4091568	6982	6402	0.055856	0.25	0.01	358	0.0925149230446866	325	3000	1:30	0.8	TRUE	0	124.609641313553
T4295396	6567	5356	0.052536	0.25	0.005	281	0.101326062330688	253	3000	1:30	0.8	TRUE	0	90.8623328208923
T4380845	3510	3176	0.02808	0.25	0.005	89	0.0773774023057059	82	3000	1:30	0.8	TRUE	0	53.077276468277
T4398343	9618	8465	0.076944	0.25	0.02	651	0.0759937465307445	602	3000	1:30	0.8	TRUE	0	175.38663315773
T4450398	13400	13310	0.08	0.25	0.07	1065	0.134593220329416	922	3000	1:30	0.8	TRUE	0	251.761753559113
T4463209a	8336	7592	0.066688	0.25	0.22	506	0.0786888769277405	466	3000	1:30	0.8	TRUE	0	166.836612224579
T4463209b	5274	4581	0.042192	0.25	0.17	193	0.0822236298567382	177	3000	1:30	0.8	TRUE	0	72.0266718864441
T4465219	12964	12915	0.08	0.25	0.18	1033	0.0789401802098326	951	3000	1:30	0.8	TRUE	0	246.548379898071
T4465935	4940	4224	0.03952	0.25	0.005	167	0.082604722652663	153	3000	1:30	0.8	TRUE	0	73.4047224521637
T4466585	3774	3762	0.030192	0.25	0.27	114	0.0817219736467617	105	3000	1:30	0.8	TRUE	0	57.726393699646
T4469479	5246	4791	0.041968	0.25	0.3	201	0.132360687595162	174	3000	1:30	0.8	TRUE	0	76.6258985996246
T4471438	9830	8811	0.07864	0.25	0.09	693	0.0950820713591714	627	3000	1:30	0.8	TRUE	0	169.89568734169
T8009218	4864	4829	0.038912	0.25	0.005	188	0.0910842252541581	171	3000	1:30	0.8	TRUE	0	77.3370158672333
