level	dataset	orig.ident	n_HB_genes_present	median_percent_hb	p95_percent_hb	p99_percent_hb	max_percent_hb	above_5pct_cells	above_5pct_percent
orig.ident	GSE222315	GSE222315_p4_NAT	9	0	0.0264970927679309	0.0757025210469571	60.5646228495809	19	0.301730983007782
orig.ident	GSE222315	GSE222315_p5_BCa	5	0	0	0	48.0664749121125	1	0.0154035736290819
orig.ident	GSE222315	GSE222315_p5_NAT	4	0	0	0	50.4740834386852	2	0.036068530207394
orig.ident	GSE222315	GSE222315_p6_BCa	3	0	0	0.00368040059435897	1.20250521920668	0	0
orig.ident	GSE222315	GSE222315_p7_BCa	4	0	0.012002258255897	0.0827210574231315	5.01868659903897	1	0.0211505922165821
orig.ident	GSE222315	GSE222315_p8_BCa	5	0	0	0.0347698492597506	9.73876296580868	2	0.0316957210776545
orig.ident	GSE222315	GSE222315_p9_BCa	6	0	0.0308380399544271	0.0678212989231564	0.74954768674076	0	0
orig.ident	GSE135337	GSM4006644_BC1	3	0	0.00389661024723635	0.0109233863761973	0.280566120082299	0	0
orig.ident	GSE135337	GSM4006645_BC2	4	0	0.013586496199158	0.029817528525499	1.71877857012251	0	0
orig.ident	GSE135337	GSM4006646_BC3	6	0	0.0125633925611209	0.0774343574907533	3.10901219992129	0	0
orig.ident	GSE135337	GSM4006647_BC4	4	0	0	0.0224110435662611	1.23743232791957	0	0
orig.ident	GSE135337	GSM4006648_BC5	3	0	0	0.0118283342441517	4.72149993157247	0	0
orig.ident	GSE135337	GSM4751267_BC6	3	0	0	0.00709181393462958	0.755538481239595	0	0
orig.ident	GSE135337	GSM4751268_BC7	2	0	0	0	0.132890365448505	0	0
orig.ident	GSE135337	GSM5329919_BCN	3	0	0	0.0284102231090379	4.07777477720767	0	0
orig.ident	HRA003620	HRA003620_BC-01	6	0	0	0.00299357255343207	0.105522335561027	0	0
orig.ident	HRA003620	HRA003620_BC-04	4	0	0	0.00494481679276724	4.75629509645119	0	0
orig.ident	HRA003620	HRA003620_BC-05	6	0	0	0.0196649443431836	0.741839762611276	0	0
orig.ident	HRA003620	HRA003620_BC-11	5	0	0	0.00486120815736826	3.72670807453416	0	0
orig.ident	HRA003620	HRA003620_BC-24	8	0	0	0	0.0658472344161545	0	0
orig.ident	HRA003620	HRA003620_BC-27	6	0	0	0.00447370833341366	0.308999613750483	0	0
orig.ident	HRA003620	HRA003620_BC-30	6	0	0	0	0.894039735099338	0	0
orig.ident	HRA003620	HRA003620_NC-01	5	0	0.00849762066621346	0.0212902198991081	22.6476248354097	1	0.049480455220188
orig.ident	HRA003620	HRA003620_NC-04	7	0	0	0.0134095862630657	37.6459202806508	6	0.0922367409684858
orig.ident	HRA003620	HRA003620_NC-05	9	0	0	0.00419375045745248	0.164229709684255	0	0
orig.ident	HRA003620	HRA003620_NC-11	5	0	0	0.00911624690086393	20.5016501650165	4	0.0562508789199831
orig.ident	HRA003620	HRA003620_NC-24	6	0	0	0	0.201765447667087	0	0
orig.ident	HRA003620	HRA003620_NC-27	7	0	0	0	0.353697749196141	0	0
orig.ident	HRA003620	HRA003620_NC-30	7	0	0	0	1.29294802451965	0	0
orig.ident	InhouseData	T4091568	4	0	0	0	1.32438940488476	0	0
orig.ident	InhouseData	T4295396	5	0	0	0	0.0806776926179911	0	0
orig.ident	InhouseData	T4380845	4	0	0	0	0.0520291363163371	0	0
orig.ident	InhouseData	T4398343	8	0	0	0.00750229377699131	0.166493236212279	0	0
orig.ident	InhouseData	T4450398	6	0	0	0.030423620251969	0.603448275862069	0	0
orig.ident	InhouseData	T4463209a	5	0	0	0.00616533361424296	0.11566424322538	0	0
orig.ident	InhouseData	T4463209b	3	0	0	0.0342036960279259	22.1581548599671	3	0.0568828213879408
orig.ident	InhouseData	T4465219	6	0	0	0	14.3730283911672	1	0.00771366862079605
orig.ident	InhouseData	T4465935	3	0	0	0	0.0291036088474971	0	0
orig.ident	InhouseData	T4466585	4	0	0	0.0326641564529143	29.6196868008949	4	0.105988341282459
orig.ident	InhouseData	T4469479	5	0	0	0.0150683644990517	11.1150255416593	1	0.0190621425848265
orig.ident	InhouseData	T4471438	6	0	0	0.026289332490235	25.668449197861	2	0.0203458799593082
orig.ident	InhouseData	T8009218	7	0.00962696727481729	0.0930470816373483	0.186184002725049	32.3443104010434	6	0.123355263157895
